-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2016 through 12/31/2016 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,CLRSKY_SFC_SW_DWN
29.5,34.5,2016,1,1,3.71
29.5,35.5,2016,1,1,3.86
30.5,34.5,2016,1,1,3.83
30.5,35.5,2016,1,1,3.83
31.5,34.5,2016,1,1,3.59
31.5,35.5,2016,1,1,3.64
32.5,34.5,2016,1,1,3.45
32.5,35.5,2016,1,1,3.55
29.5,34.5,2016,1,2,4.19
29.5,35.5,2016,1,2,4.24
30.5,34.5,2016,1,2,3.96
30.5,35.5,2016,1,2,4.0
31.5,34.5,2016,1,2,3.7
31.5,35.5,2016,1,2,3.81
32.5,34.5,2016,1,2,3.55
32.5,35.5,2016,1,2,3.66
29.5,34.5,2016,1,3,4.17
29.5,35.5,2016,1,3,4.26
30.5,34.5,2016,1,3,3.63
30.5,35.5,2016,1,3,3.75
31.5,34.5,2016,1,3,3.38
31.5,35.5,2016,1,3,3.56
32.5,34.5,2016,1,3,3.42
32.5,35.5,2016,1,3,3.32
29.5,34.5,2016,1,4,4.15
29.5,35.5,2016,1,4,4.22
30.5,34.5,2016,1,4,3.74
30.5,35.5,2016,1,4,3.89
31.5,34.5,2016,1,4,3.5
31.5,35.5,2016,1,4,3.67
32.5,34.5,2016,1,4,3.16
32.5,35.5,2016,1,4,3.33
29.5,34.5,2016,1,5,4.04
29.5,35.5,2016,1,5,4.12
30.5,34.5,2016,1,5,3.65
30.5,35.5,2016,1,5,3.67
31.5,34.5,2016,1,5,3.4
31.5,35.5,2016,1,5,3.46
32.5,34.5,2016,1,5,3.01
32.5,35.5,2016,1,5,3.11
29.5,34.5,2016,1,6,4.12
29.5,35.5,2016,1,6,4.17
30.5,34.5,2016,1,6,3.89
30.5,35.5,2016,1,6,3.93
31.5,34.5,2016,1,6,3.63
31.5,35.5,2016,1,6,3.74
32.5,34.5,2016,1,6,3.5
32.5,35.5,2016,1,6,3.52
29.5,34.5,2016,1,7,4.05
29.5,35.5,2016,1,7,4.14
30.5,34.5,2016,1,7,3.75
30.5,35.5,2016,1,7,3.84
31.5,34.5,2016,1,7,3.49
31.5,35.5,2016,1,7,3.66
32.5,34.5,2016,1,7,3.2
32.5,35.5,2016,1,7,3.46
29.5,34.5,2016,1,8,3.07
29.5,35.5,2016,1,8,3.29
30.5,34.5,2016,1,8,3.45
30.5,35.5,2016,1,8,3.11
31.5,34.5,2016,1,8,3.21
31.5,35.5,2016,1,8,2.97
32.5,34.5,2016,1,8,3.46
32.5,35.5,2016,1,8,3.29
29.5,34.5,2016,1,9,4.04
29.5,35.5,2016,1,9,4.19
30.5,34.5,2016,1,9,4.06
30.5,35.5,2016,1,9,4.08
31.5,34.5,2016,1,9,3.85
31.5,35.5,2016,1,9,3.91
32.5,34.5,2016,1,9,3.7
32.5,35.5,2016,1,9,3.73
29.5,34.5,2016,1,10,4.34
29.5,35.5,2016,1,10,4.41
30.5,34.5,2016,1,10,4.11
30.5,35.5,2016,1,10,4.17
31.5,34.5,2016,1,10,3.85
31.5,35.5,2016,1,10,3.95
32.5,34.5,2016,1,10,3.7
32.5,35.5,2016,1,10,3.75
29.5,34.5,2016,1,11,4.32
29.5,35.5,2016,1,11,4.23
30.5,34.5,2016,1,11,4.03
30.5,35.5,2016,1,11,4.11
31.5,34.5,2016,1,11,3.75
31.5,35.5,2016,1,11,3.94
32.5,34.5,2016,1,11,3.49
32.5,35.5,2016,1,11,3.7
29.5,34.5,2016,1,12,4.37
29.5,35.5,2016,1,12,4.32
30.5,34.5,2016,1,12,4.09
30.5,35.5,2016,1,12,4.13
31.5,34.5,2016,1,12,3.81
31.5,35.5,2016,1,12,3.91
32.5,34.5,2016,1,12,3.65
32.5,35.5,2016,1,12,3.72
29.5,34.5,2016,1,13,4.4
29.5,35.5,2016,1,13,4.37
30.5,34.5,2016,1,13,4.23
30.5,35.5,2016,1,13,4.2
31.5,34.5,2016,1,13,3.88
31.5,35.5,2016,1,13,3.98
32.5,34.5,2016,1,13,3.75
32.5,35.5,2016,1,13,3.82
29.5,34.5,2016,1,14,4.35
29.5,35.5,2016,1,14,4.4
30.5,34.5,2016,1,14,3.99
30.5,35.5,2016,1,14,4.18
31.5,34.5,2016,1,14,3.69
31.5,35.5,2016,1,14,3.94
32.5,34.5,2016,1,14,3.62
32.5,35.5,2016,1,14,3.6
29.5,34.5,2016,1,15,4.38
29.5,35.5,2016,1,15,4.39
30.5,34.5,2016,1,15,4.26
30.5,35.5,2016,1,15,4.29
31.5,34.5,2016,1,15,4.03
31.5,35.5,2016,1,15,4.11
32.5,34.5,2016,1,15,3.85
32.5,35.5,2016,1,15,3.94
29.5,34.5,2016,1,16,4.41
29.5,35.5,2016,1,16,4.39
30.5,34.5,2016,1,16,4.23
30.5,35.5,2016,1,16,4.25
31.5,34.5,2016,1,16,3.91
31.5,35.5,2016,1,16,4.06
32.5,34.5,2016,1,16,3.83
32.5,35.5,2016,1,16,3.94
29.5,34.5,2016,1,17,4.46
29.5,35.5,2016,1,17,4.42
30.5,34.5,2016,1,17,4.24
30.5,35.5,2016,1,17,4.2
31.5,34.5,2016,1,17,3.87
31.5,35.5,2016,1,17,4.0
32.5,34.5,2016,1,17,3.81
32.5,35.5,2016,1,17,3.76
29.5,34.5,2016,1,18,3.12
29.5,35.5,2016,1,18,3.9
30.5,34.5,2016,1,18,2.62
30.5,35.5,2016,1,18,3.16
31.5,34.5,2016,1,18,2.34
31.5,35.5,2016,1,18,2.98
32.5,34.5,2016,1,18,2.32
32.5,35.5,2016,1,18,2.63
29.5,34.5,2016,1,19,3.6
29.5,35.5,2016,1,19,3.8
30.5,34.5,2016,1,19,3.63
30.5,35.5,2016,1,19,3.43
31.5,34.5,2016,1,19,3.32
31.5,35.5,2016,1,19,3.19
32.5,34.5,2016,1,19,3.77
32.5,35.5,2016,1,19,3.55
29.5,34.5,2016,1,20,4.33
29.5,35.5,2016,1,20,4.36
30.5,34.5,2016,1,20,4.2
30.5,35.5,2016,1,20,4.21
31.5,34.5,2016,1,20,3.92
31.5,35.5,2016,1,20,3.97
32.5,34.5,2016,1,20,3.84
32.5,35.5,2016,1,20,3.95
29.5,34.5,2016,1,21,4.43
29.5,35.5,2016,1,21,4.23
30.5,34.5,2016,1,21,4.27
30.5,35.5,2016,1,21,3.91
31.5,34.5,2016,1,21,4.0
31.5,35.5,2016,1,21,3.67
32.5,34.5,2016,1,21,3.81
32.5,35.5,2016,1,21,3.63
29.5,34.5,2016,1,22,4.49
29.5,35.5,2016,1,22,4.46
30.5,34.5,2016,1,22,4.22
30.5,35.5,2016,1,22,4.16
31.5,34.5,2016,1,22,3.96
31.5,35.5,2016,1,22,3.96
32.5,34.5,2016,1,22,3.66
32.5,35.5,2016,1,22,3.7
29.5,34.5,2016,1,23,4.37
29.5,35.5,2016,1,23,4.52
30.5,34.5,2016,1,23,4.2
30.5,35.5,2016,1,23,4.14
31.5,34.5,2016,1,23,3.95
31.5,35.5,2016,1,23,3.94
32.5,34.5,2016,1,23,3.96
32.5,35.5,2016,1,23,3.83
29.5,34.5,2016,1,24,4.43
29.5,35.5,2016,1,24,4.54
30.5,34.5,2016,1,24,4.29
30.5,35.5,2016,1,24,4.32
31.5,34.5,2016,1,24,4.04
31.5,35.5,2016,1,24,4.11
32.5,34.5,2016,1,24,3.9
32.5,35.5,2016,1,24,4.0
29.5,34.5,2016,1,25,4.5
29.5,35.5,2016,1,25,4.63
30.5,34.5,2016,1,25,4.4
30.5,35.5,2016,1,25,4.35
31.5,34.5,2016,1,25,4.14
31.5,35.5,2016,1,25,4.16
32.5,34.5,2016,1,25,4.07
32.5,35.5,2016,1,25,4.08
29.5,34.5,2016,1,26,4.58
29.5,35.5,2016,1,26,4.65
30.5,34.5,2016,1,26,4.41
30.5,35.5,2016,1,26,4.44
31.5,34.5,2016,1,26,4.17
31.5,35.5,2016,1,26,4.23
32.5,34.5,2016,1,26,4.08
32.5,35.5,2016,1,26,4.08
29.5,34.5,2016,1,27,4.5
29.5,35.5,2016,1,27,4.48
30.5,34.5,2016,1,27,4.4
30.5,35.5,2016,1,27,4.52
31.5,34.5,2016,1,27,4.16
31.5,35.5,2016,1,27,4.31
32.5,34.5,2016,1,27,4.03
32.5,35.5,2016,1,27,4.19
29.5,34.5,2016,1,28,4.96
29.5,35.5,2016,1,28,4.99
30.5,34.5,2016,1,28,4.77
30.5,35.5,2016,1,28,4.81
31.5,34.5,2016,1,28,4.5
31.5,35.5,2016,1,28,4.62
32.5,34.5,2016,1,28,4.23
32.5,35.5,2016,1,28,4.41
29.5,34.5,2016,1,29,4.93
29.5,35.5,2016,1,29,4.98
30.5,34.5,2016,1,29,4.6
30.5,35.5,2016,1,29,4.64
31.5,34.5,2016,1,29,4.32
31.5,35.5,2016,1,29,4.42
32.5,34.5,2016,1,29,4.21
32.5,35.5,2016,1,29,4.2
29.5,34.5,2016,1,30,4.92
29.5,35.5,2016,1,30,5.03
30.5,34.5,2016,1,30,4.66
30.5,35.5,2016,1,30,4.74
31.5,34.5,2016,1,30,4.37
31.5,35.5,2016,1,30,4.5
32.5,34.5,2016,1,30,4.14
32.5,35.5,2016,1,30,4.25
29.5,34.5,2016,1,31,4.96
29.5,35.5,2016,1,31,5.12
30.5,34.5,2016,1,31,4.64
30.5,35.5,2016,1,31,4.81
31.5,34.5,2016,1,31,4.37
31.5,35.5,2016,1,31,4.59
32.5,34.5,2016,1,31,4.23
32.5,35.5,2016,1,31,4.31
29.5,34.5,2016,2,1,5.05
29.5,35.5,2016,2,1,5.14
30.5,34.5,2016,2,1,4.8
30.5,35.5,2016,2,1,4.93
31.5,34.5,2016,2,1,4.52
31.5,35.5,2016,2,1,4.69
32.5,34.5,2016,2,1,4.21
32.5,35.5,2016,2,1,4.4
29.5,34.5,2016,2,2,4.87
29.5,35.5,2016,2,2,4.96
30.5,34.5,2016,2,2,4.59
30.5,35.5,2016,2,2,4.7
31.5,34.5,2016,2,2,4.33
31.5,35.5,2016,2,2,4.46
32.5,34.5,2016,2,2,4.25
32.5,35.5,2016,2,2,4.2
29.5,34.5,2016,2,3,5.03
29.5,35.5,2016,2,3,5.09
30.5,34.5,2016,2,3,4.82
30.5,35.5,2016,2,3,4.87
31.5,34.5,2016,2,3,4.54
31.5,35.5,2016,2,3,4.66
32.5,34.5,2016,2,3,4.35
32.5,35.5,2016,2,3,4.46
29.5,34.5,2016,2,4,5.13
29.5,35.5,2016,2,4,5.18
30.5,34.5,2016,2,4,4.96
30.5,35.5,2016,2,4,5.03
31.5,34.5,2016,2,4,4.6
31.5,35.5,2016,2,4,4.8
32.5,34.5,2016,2,4,4.51
32.5,35.5,2016,2,4,4.57
29.5,34.5,2016,2,5,4.67
29.5,35.5,2016,2,5,4.76
30.5,34.5,2016,2,5,4.58
30.5,35.5,2016,2,5,4.67
31.5,34.5,2016,2,5,4.33
31.5,35.5,2016,2,5,4.47
32.5,34.5,2016,2,5,4.2
32.5,35.5,2016,2,5,4.36
29.5,34.5,2016,2,6,4.36
29.5,35.5,2016,2,6,4.83
30.5,34.5,2016,2,6,4.24
30.5,35.5,2016,2,6,4.33
31.5,34.5,2016,2,6,3.95
31.5,35.5,2016,2,6,4.1
32.5,34.5,2016,2,6,4.07
32.5,35.5,2016,2,6,4.14
29.5,34.5,2016,2,7,5.06
29.5,35.5,2016,2,7,4.94
30.5,34.5,2016,2,7,4.79
30.5,35.5,2016,2,7,4.77
31.5,34.5,2016,2,7,4.51
31.5,35.5,2016,2,7,4.56
32.5,34.5,2016,2,7,4.54
32.5,35.5,2016,2,7,4.55
29.5,34.5,2016,2,8,5.15
29.5,35.5,2016,2,8,5.23
30.5,34.5,2016,2,8,4.99
30.5,35.5,2016,2,8,5.01
31.5,34.5,2016,2,8,4.72
31.5,35.5,2016,2,8,4.79
32.5,34.5,2016,2,8,4.63
32.5,35.5,2016,2,8,4.57
29.5,34.5,2016,2,9,5.25
29.5,35.5,2016,2,9,5.34
30.5,34.5,2016,2,9,4.8
30.5,35.5,2016,2,9,5.1
31.5,34.5,2016,2,9,4.55
31.5,35.5,2016,2,9,4.88
32.5,34.5,2016,2,9,4.62
32.5,35.5,2016,2,9,4.66
29.5,34.5,2016,2,10,5.07
29.5,35.5,2016,2,10,5.16
30.5,34.5,2016,2,10,4.78
30.5,35.5,2016,2,10,4.84
31.5,34.5,2016,2,10,4.51
31.5,35.5,2016,2,10,4.64
32.5,34.5,2016,2,10,4.37
32.5,35.5,2016,2,10,4.48
29.5,34.5,2016,2,11,5.3
29.5,35.5,2016,2,11,5.31
30.5,34.5,2016,2,11,4.91
30.5,35.5,2016,2,11,5.04
31.5,34.5,2016,2,11,4.64
31.5,35.5,2016,2,11,4.8
32.5,34.5,2016,2,11,4.53
32.5,35.5,2016,2,11,4.54
29.5,34.5,2016,2,12,5.38
29.5,35.5,2016,2,12,5.31
30.5,34.5,2016,2,12,5.12
30.5,35.5,2016,2,12,5.14
31.5,34.5,2016,2,12,4.82
31.5,35.5,2016,2,12,4.94
32.5,34.5,2016,2,12,4.52
32.5,35.5,2016,2,12,4.72
29.5,34.5,2016,2,13,5.33
29.5,35.5,2016,2,13,5.33
30.5,34.5,2016,2,13,5.13
30.5,35.5,2016,2,13,5.1
31.5,34.5,2016,2,13,4.8
31.5,35.5,2016,2,13,4.89
32.5,34.5,2016,2,13,4.66
32.5,35.5,2016,2,13,4.77
29.5,34.5,2016,2,14,5.51
29.5,35.5,2016,2,14,5.54
30.5,34.5,2016,2,14,5.25
30.5,35.5,2016,2,14,5.31
31.5,34.5,2016,2,14,4.96
31.5,35.5,2016,2,14,5.05
32.5,34.5,2016,2,14,4.69
32.5,35.5,2016,2,14,4.86
29.5,34.5,2016,2,15,5.6
29.5,35.5,2016,2,15,5.61
30.5,34.5,2016,2,15,5.39
30.5,35.5,2016,2,15,5.34
31.5,34.5,2016,2,15,4.97
31.5,35.5,2016,2,15,5.08
32.5,34.5,2016,2,15,4.91
32.5,35.5,2016,2,15,4.91
29.5,34.5,2016,2,16,5.62
29.5,35.5,2016,2,16,5.61
30.5,34.5,2016,2,16,5.42
30.5,35.5,2016,2,16,5.38
31.5,34.5,2016,2,16,5.08
31.5,35.5,2016,2,16,5.17
32.5,34.5,2016,2,16,4.98
32.5,35.5,2016,2,16,4.99
29.5,34.5,2016,2,17,5.52
29.5,35.5,2016,2,17,5.59
30.5,34.5,2016,2,17,5.38
30.5,35.5,2016,2,17,5.42
31.5,34.5,2016,2,17,5.09
31.5,35.5,2016,2,17,5.21
32.5,34.5,2016,2,17,4.92
32.5,35.5,2016,2,17,5.03
29.5,34.5,2016,2,18,5.44
29.5,35.5,2016,2,18,5.56
30.5,34.5,2016,2,18,5.41
30.5,35.5,2016,2,18,5.44
31.5,34.5,2016,2,18,5.14
31.5,35.5,2016,2,18,5.23
32.5,34.5,2016,2,18,4.95
32.5,35.5,2016,2,18,5.03
29.5,34.5,2016,2,19,5.51
29.5,35.5,2016,2,19,5.61
30.5,34.5,2016,2,19,5.26
30.5,35.5,2016,2,19,5.5
31.5,34.5,2016,2,19,4.96
31.5,35.5,2016,2,19,5.3
32.5,34.5,2016,2,19,4.92
32.5,35.5,2016,2,19,5.05
29.5,34.5,2016,2,20,5.74
29.5,35.5,2016,2,20,5.81
30.5,34.5,2016,2,20,5.36
30.5,35.5,2016,2,20,5.58
31.5,34.5,2016,2,20,5.07
31.5,35.5,2016,2,20,5.35
32.5,34.5,2016,2,20,4.88
32.5,35.5,2016,2,20,5.06
29.5,34.5,2016,2,21,5.46
29.5,35.5,2016,2,21,5.53
30.5,34.5,2016,2,21,5.3
30.5,35.5,2016,2,21,5.29
31.5,34.5,2016,2,21,5.03
31.5,35.5,2016,2,21,5.11
32.5,34.5,2016,2,21,4.93
32.5,35.5,2016,2,21,4.9
29.5,34.5,2016,2,22,5.25
29.5,35.5,2016,2,22,5.35
30.5,34.5,2016,2,22,5.43
30.5,35.5,2016,2,22,5.34
31.5,34.5,2016,2,22,5.18
31.5,35.5,2016,2,22,5.15
32.5,34.5,2016,2,22,5.08
32.5,35.5,2016,2,22,5.07
29.5,34.5,2016,2,23,5.77
29.5,35.5,2016,2,23,5.74
30.5,34.5,2016,2,23,5.51
30.5,35.5,2016,2,23,5.36
31.5,34.5,2016,2,23,5.23
31.5,35.5,2016,2,23,5.15
32.5,34.5,2016,2,23,4.99
32.5,35.5,2016,2,23,4.98
29.5,34.5,2016,2,24,5.92
29.5,35.5,2016,2,24,5.95
30.5,34.5,2016,2,24,5.73
30.5,35.5,2016,2,24,5.73
31.5,34.5,2016,2,24,5.47
31.5,35.5,2016,2,24,5.5
32.5,34.5,2016,2,24,5.25
32.5,35.5,2016,2,24,5.2
29.5,34.5,2016,2,25,5.93
29.5,35.5,2016,2,25,5.96
30.5,34.5,2016,2,25,5.74
30.5,35.5,2016,2,25,5.74
31.5,34.5,2016,2,25,5.48
31.5,35.5,2016,2,25,5.55
32.5,34.5,2016,2,25,5.26
32.5,35.5,2016,2,25,5.32
29.5,34.5,2016,2,26,5.93
29.5,35.5,2016,2,26,5.93
30.5,34.5,2016,2,26,5.77
30.5,35.5,2016,2,26,5.71
31.5,34.5,2016,2,26,5.5
31.5,35.5,2016,2,26,5.51
32.5,34.5,2016,2,26,5.35
32.5,35.5,2016,2,26,5.35
29.5,34.5,2016,2,27,6.02
29.5,35.5,2016,2,27,6.1
30.5,34.5,2016,2,27,5.7
30.5,35.5,2016,2,27,5.85
31.5,34.5,2016,2,27,5.41
