-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 02/17/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DNI
33.369,33.841,2025,2,1,-999.0
33.369,36.029,2025,2,1,-999.0
29.279,33.841,2025,2,2,-999.0
29.279,36.029,2025,2,2,-999.0
33.369,33.841,2025,2,2,-999.0
33.369,36.029,2025,2,2,-999.0
29.279,33.841,2025,2,3,-999.0
29.279,36.029,2025,2,3,-999.0
33.369,33.841,2025,2,3,-999.0
33.369,36.029,2025,2,3,-999.0
29.279,33.841,2025,2,4,-999.0
29.279,36.029,2025,2,4,-999.0
33.369,33.841,2025,2,4,-999.0
33.369,36.029,2025,2,4,-999.0
29.279,33.841,2025,2,5,-999.0
29.279,36.029,2025,2,5,-999.0
33.369,33.841,2025,2,5,-999.0
33.369,36.029,2025,2,5,-999.0
29.279,33.841,2025,2,6,-999.0
29.279,36.029,2025,2,6,-999.0
33.369,33.841,2025,2,6,-999.0
33.369,36.029,2025,2,6,-999.0
29.279,33.841,2025,2,7,-999.0
29.279,36.029,2025,2,7,-999.0
33.369,33.841,2025,2,7,-999.0
33.369,36.029,2025,2,7,-999.0
29.279,33.841,2025,2,8,-999.0
29.279,36.029,2025,2,8,-999.0
33.369,33.841,2025,2,8,-999.0
33.369,36.029,2025,2,8,-999.0
29.279,33.841,2025,2,9,-999.0
29.279,36.029,2025,2,9,-999.0
33.369,33.841,2025,2,9,-999.0
33.369,36.029,2025,2,9,-999.0
29.279,33.841,2025,2,10,-999.0
29.279,36.029,2025,2,10,-999.0
33.369,33.841,2025,2,10,-999.0
33.369,36.029,2025,2,10,-999.0
29.279,33.841,2025,2,11,-999.0
29.279,36.029,2025,2,11,-999.0
33.369,33.841,2025,2,11,-999.0
33.369,36.029,2025,2,11,-999.0
29.279,33.841,2025,2,12,-999.0
29.279,36.029,2025,2,12,-999.0
33.369,33.841,2025,2,12,-999.0
33.369,36.029,2025,2,12,-999.0
29.279,33.841,2025,2,13,-999.0
29.279,36.029,2025,2,13,-999.0
