LAT,LON,YEAR,MO,DY,WS50M_MAX
29.5,35.625,2017,1,1,6.8
29.5,35.0,2017,1,1,6.73
29.5,34.375,2017,1,1,7.23
29.5,35.625,2009,1,3,7.06
29.5,35.0,2009,1,3,6.95
29.5,34.375,2009,1,3,3.99
29.5,35.0,2009,1,2,5.46
29.5,34.375,2018,7,3,9.29
29.5,35.625,2015,1,2,6.05
29.5,35.0,2015,1,2,5.86
29.5,34.375,2015,1,2,7.55
29.5,35.625,2018,7,4,9.46
29.5,35.625,2011,1,3,6.82
29.5,35.0,2011,1,3,3.81
29.5,34.375,2011,1,3,5.59
29.5,34.375,2018,7,2,9.99
29.5,35.0,2020,1,1,5.19
29.5,34.375,2020,1,1,5.57
29.5,35.625,2013,1,3,7.83
29.5,35.0,2013,1,3,7.43
29.5,34.375,2013,1,3,5.16
29.5,34.375,2020,1,2,9.36
29.5,34.375,2023,1,1,8.49
29.5,35.625,2017,1,2,5.69
29.5,35.0,2017,1,2,5.96
29.5,35.625,2022,12,31,7.62
29.5,35.0,2022,12,31,8.62
29.5,34.375,2022,12,31,7.86
29.5,35.625,2009,1,4,5.12
29.5,35.625,2009,1,2,4.67
29.5,35.625,2009,1,1,7.25
29.5,34.375,2009,1,4,5.74
29.5,35.625,2016,12,30,6.24
29.5,35.0,2016,12,30,3.55
29.5,34.375,2016,12,30,8.05
29.5,35.625,2017,1,4,4.38
29.5,35.625,2009,1,5,5.91
29.5,35.0,2009,1,5,5.81
29.5,34.375,2009,1,5,4.11
29.5,34.375,2019,12,31,7.66
29.5,35.625,2013,1,4,7.91
29.5,35.0,2013,1,4,8.02
29.5,34.375,2013,1,4,10.17
29.5,35.625,2020,1,1,4.84
29.5,35.625,2012,12,31,6.21
29.5,35.0,2012,12,31,4.95
29.5,34.375,2012,12,31,5.4
29.5,34.375,2017,1,2,7.11
29.5,35.0,2022,12,30,7.85
29.5,34.375,2022,12,30,7.13
29.5,35.0,2024,12,30,4.8
29.5,34.375,2024,12,30,7.55
29.5,35.625,2009,1,6,5.99
29.5,35.0,2009,1,6,6.11
29.5,34.375,2009,1,6,4.72
29.5,35.0,2017,1,3,5.98
29.5,34.375,2019,12,30,9.67
29.5,35.625,2013,1,5,6.82
29.5,35.0,2013,1,5,5.27
29.5,34.375,2013,1,5,7.77
29.5,35.625,2019,12,31,4.0
29.5,35.625,2023,6,6,9.14
29.5,35.0,2023,6,6,8.39
29.5,34.375,2017,1,3,6.92
29.5,35.625,2012,12,29,8.07
29.5,35.0,2017,1,4,6.06
29.5,34.375,2017,1,4,6.42
29.5,35.625,2016,12,29,7.79
29.5,35.0,2016,12,29,5.42
29.5,34.375,2016,12,29,7.59
29.5,34.375,2022,12,29,6.73
29.5,34.375,2023,6,6,9.33
29.5,35.625,2019,12,30,9.78
29.5,35.0,2019,12,30,7.77
29.5,35.625,2020,1,4,8.91
29.5,35.0,2020,1,4,6.04
29.5,34.375,2020,1,4,9.05
29.5,35.625,2012,12,30,5.13
29.5,35.625,2024,12,30,6.6
29.5,35.625,2022,12,30,7.4
29.5,34.375,2016,12,28,7.32
29.5,35.625,2017,1,5,9.19
29.5,35.0,2017,1,5,8.6
29.5,35.625,2009,1,7,7.33
29.5,35.0,2009,1,7,5.49
29.5,34.375,2009,1,7,7.28
29.5,35.625,2022,12,29,6.91
29.5,35.0,2022,12,29,6.89
29.5,35.0,2012,12,30,5.87
29.5,34.375,2012,12,30,6.64
29.5,35.625,2013,1,6,10.05
29.5,35.0,2013,1,6,9.08
29.5,34.375,2013,1,6,9.86
29.5,35.625,2020,1,5,7.73
29.5,35.0,2020,1,5,5.2
29.5,34.375,2020,1,5,8.12
29.5,34.375,2019,12,28,6.84
29.5,35.625,2016,12,27,12.11
29.5,35.0,2016,12,27,8.97
29.5,34.375,2016,12,27,11.45
29.5,34.375,2017,1,5,5.93
29.5,35.625,2023,11,10,6.51
29.5,35.0,2012,12,29,6.38
29.5,34.375,2012,12,29,8.4
29.5,35.625,2019,12,29,5.64
29.5,35.0,2019,12,29,3.22
29.5,34.375,2019,12,29,5.53
29.5,35.625,2024,6,6,7.38
29.5,35.0,2024,6,6,6.38
29.5,34.375,2024,6,6,9.15
29.5,35.625,2016,12,28,6.69
29.5,35.0,2016,12,28,5.88
29.5,34.375,2022,12,28,6.02
29.5,35.625,2009,1,8,3.88
29.5,35.0,2009,1,8,6.82
29.5,34.375,2009,1,8,7.16
29.5,35.625,2017,1,6,7.74
29.5,35.0,2017,1,6,8.56
29.5,34.375,2017,1,6,6.24
29.5,35.0,2023,11,10,5.39
29.5,34.375,2023,11,10,6.9
29.5,35.625,2013,1,7,16.65
29.5,35.0,2013,1,7,12.61
29.5,34.375,2013,1,7,16.2
29.5,35.625,2012,12,28,5.65
29.5,35.0,2012,12,28,5.2
29.5,34.375,2012,12,28,6.51
29.5,35.0,2019,12,28,3.24
29.5,35.0,2016,12,26,3.54
29.5,34.375,2016,12,26,8.66
29.5,35.0,2022,12,27,11.44
29.5,34.375,2022,12,27,12.46
29.5,35.625,2009,1,9,6.98
29.5,35.0,2009,1,9,7.91
29.5,34.375,2009,1,9,8.89
29.5,35.625,2013,1,8,13.05
29.5,35.0,2013,1,8,10.3
29.5,34.375,2013,1,8,12.75
29.5,35.625,2012,12,27,6.11
29.5,35.0,2012,12,27,6.45
29.5,34.375,2012,12,27,6.95
29.5,35.625,2019,12,27,13.08
29.5,35.625,2022,12,28,6.89
29.5,35.0,2022,12,28,5.86
29.5,34.375,2022,12,26,12.21
29.5,35.625,2009,1,10,5.5
29.5,35.0,2009,1,10,6.13
29.5,34.375,2009,1,10,6.02
29.5,35.625,2022,12,27,12.82
29.5,35.0,2019,12,27,9.0
29.5,34.375,2019,12,27,10.95
29.5,35.625,2013,1,9,15.27
29.5,35.0,2013,1,9,11.67
29.5,34.375,2013,1,9,13.97
29.5,35.625,2019,12,28,5.05
29.5,35.625,2020,1,6,7.9
29.5,35.0,2020,1,6,8.6
29.5,34.375,2020,1,6,8.39
29.5,35.0,2023,6,5,8.32
29.5,35.625,2016,12,26,5.93
29.5,35.625,2020,1,7,11.11
29.5,35.0,2020,1,7,9.14
29.5,34.375,2020,1,7,9.26
29.5,35.625,2012,12,26,5.92
29.5,35.0,2012,12,26,6.08
29.5,35.625,2017,1,7,8.55
29.5,35.0,2017,1,7,5.89
29.5,34.375,2017,1,7,8.99
29.5,35.625,2016,12,25,8.24
29.5,35.0,2016,12,25,6.0
29.5,34.375,2016,12,25,8.11
29.5,35.625,2022,12,26,12.9
29.5,35.0,2022,12,26,10.02
29.5,35.625,2023,11,9,6.37
29.5,35.0,2023,11,9,5.42
29.5,34.375,2023,11,9,7.88
29.5,35.0,2013,1,10,6.82
29.5,34.375,2013,1,10,8.97
29.5,35.625,2012,12,25,6.73
29.5,35.0,2012,12,25,7.09
29.5,34.375,2012,12,25,8.49
29.5,34.375,2017,1,8,8.77
29.5,35.625,2016,12,24,8.4
29.5,35.0,2016,12,24,5.84
29.5,34.375,2016,12,24,8.54
29.5,35.625,2009,1,11,9.99
29.5,35.0,2009,1,11,7.26
29.5,34.375,2009,1,11,7.84
29.5,34.375,2023,6,5,9.52
29.5,35.625,2019,12,26,14.08
29.5,35.0,2019,12,26,9.95
29.5,34.375,2019,12,26,11.51
29.5,34.375,2009,1,12,8.3
29.5,35.625,2023,11,11,6.49
29.5,35.0,2023,11,11,4.46
29.5,34.375,2023,11,11,6.79
29.5,35.625,2022,12,25,6.44
29.5,35.0,2022,12,25,5.74
29.5,34.375,2022,12,25,7.03
29.5,35.625,2017,1,8,7.91
29.5,35.0,2017,1,8,6.53
29.5,35.625,2023,6,5,8.97
29.5,35.625,2012,12,24,6.98
29.5,35.0,2012,12,24,4.31
29.5,34.375,2012,12,24,6.98
29.5,35.625,2020,1,8,12.02
29.5,34.375,2012,12,26,6.69
29.5,35.625,2013,1,10,10.66
29.5,35.0,2012,12,23,3.88
29.5,34.375,2012,12,23,4.0
29.5,34.375,2016,12,22,8.77
29.5,35.625,2016,12,23,9.14
29.5,35.0,2016,12,23,3.92
29.5,34.375,2016,12,23,4.97
29.5,35.625,2009,1,12,7.54
29.5,35.625,2013,1,11,5.8
29.5,35.0,2013,1,11,6.07
29.5,34.375,2013,1,11,2.65
29.5,35.625,2024,6,4,7.35
29.5,35.0,2024,6,4,7.66
29.5,34.375,2024,6,4,9.3
29.5,35.0,2020,1,8,8.94
29.5,34.375,2020,1,8,11.28
29.5,35.0,2009,1,12,6.97
29.5,34.375,2019,12,24,9.18
29.5,35.625,2022,12,24,5.42
29.5,35.0,2022,12,24,4.75
29.5,34.375,2022,12,24,7.07
29.5,35.625,2009,1,13,9.77
29.5,35.0,2009,1,13,10.14
29.5,34.375,2009,1,13,7.17
29.5,35.625,2016,12,22,8.3
29.5,35.0,2016,12,22,5.13
29.5,35.625,2019,12,25,12.14
29.5,35.0,2019,12,25,9.53
29.5,34.375,2019,12,25,11.69
29.5,35.625,2013,1,12,6.73
29.5,35.0,2013,1,12,7.64
29.5,34.375,2013,1,12,6.61
29.5,35.625,2012,12,23,4.18
29.5,35.0,2012,12,22,3.05
29.5,34.375,2012,12,22,3.49
29.5,35.0,2023,11,8,5.23
29.5,34.375,2023,11,8,7.12
29.5,35.625,2022,12,23,7.7
29.5,35.0,2022,12,23,7.65
29.5,34.375,2022,12,23,10.23
29.5,35.625,2009,1,14,10.07
29.5,35.0,2009,1,14,10.38
29.5,34.375,2009,1,14,7.83
29.5,35.625,2023,6,7,10.17
29.5,35.625,2013,1,13,7.11
29.5,35.0,2013,1,13,7.03
29.5,34.375,2013,1,13,8.03
29.5,35.625,2019,12,24,11.62
29.5,35.0,2019,12,24,9.51
29.5,35.625,2016,12,21,5.49
29.5,35.0,2016,12,21,5.2
29.5,34.375,2016,12,21,5.39
29.5,35.625,2022,12,22,5.43
29.5,35.0,2022,12,22,5.0
29.5,34.375,2022,12,22,6.16
29.5,35.625,2017,1,9,7.8
29.5,35.0,2017,1,9,5.02
29.5,34.375,2017,1,9,7.28
29.5,35.625,2020,1,9,10.14
29.5,35.0,2020,1,9,6.91
29.5,34.375,2020,1,9,9.29
29.5,35.625,2020,1,10,8.09
29.5,35.0,2020,1,10,6.25
29.5,34.375,2020,1,10,8.44
29.5,35.625,2012,12,22,4.3
29.5,35.0,2016,12,20,8.53
29.5,34.375,2016,12,20,10.22
29.5,35.625,2009,1,15,8.97
29.5,35.0,2009,1,15,10.03
29.5,34.375,2009,1,15,7.68
29.5,35.625,2017,1,10,7.09
29.5,35.625,2012,12,21,10.16
29.5,35.0,2012,12,21,8.4
29.5,34.375,2012,12,21,10.06
29.5,35.625,2020,1,11,5.54
29.5,35.0,2020,1,11,5.85
29.5,34.375,2020,1,11,5.02
29.5,35.625,2013,1,14,8.3
29.5,35.0,2013,1,14,9.18
29.5,35.0,2017,1,10,7.89
29.5,34.375,2017,1,10,6.33
29.5,34.375,2016,12,19,10.51
29.5,35.625,2017,1,11,6.07
29.5,35.625,2009,1,16,7.88
29.5,35.0,2009,1,16,8.43
29.5,34.375,2009,1,16,5.59
29.5,35.625,2016,12,20,10.12
29.5,34.375,2013,1,14,7.38
29.5,35.0,2023,6,7,6.47
29.5,34.375,2023,6,7,7.41
29.5,35.625,2012,12,20,13.16
29.5,35.0,2012,12,20,10.52
29.5,34.375,2012,12,20,12.14
29.5,35.625,2019,12,23,8.31
29.5,35.0,2019,12,23,5.92
29.5,34.375,2019,12,23,8.52
29.5,35.0,2024,6,3,8.2
29.5,34.375,2009,1,17,9.09
29.5,35.0,2017,1,11,6.09
29.5,34.375,2017,1,11,5.56
29.5,35.625,2024,12,29,6.34
29.5,35.0,2024,12,29,4.55
29.5,34.375,2024,12,29,6.87
29.5,35.625,2023,11,8,4.5
29.5,34.375,2024,6,3,9.32
29.5,35.625,2013,1,15,10.14
29.5,35.0,2013,1,15,11.01
29.5,34.375,2013,1,15,6.11
29.5,35.625,2024,6,3,8.06
29.5,35.625,2020,1,12,7.88
29.5,35.0,2020,1,12,5.72
29.5,35.625,2016,12,19,9.41
29.5,35.0,2016,12,19,8.42
29.5,35.625,2016,12,18,8.09
29.5,35.0,2016,12,18,6.16
29.5,34.375,2016,12,18,7.92
29.5,35.625,2022,12,21,6.72
29.5,35.0,2022,12,21,6.37
29.5,34.375,2022,12,21,7.46
29.5,35.625,2009,1,17,8.94
29.5,34.375,2020,1,12,7.67
29.5,35.625,2013,1,16,9.6
29.5,35.0,2013,1,16,11.48
29.5,34.375,2013,1,16,6.48
29.5,35.625,2019,12,22,4.19
29.5,35.0,2019,12,22,5.31
29.5,34.375,2019,12,22,5.86
29.5,35.625,2012,12,19,7.86
29.5,35.0,2009,1,17,7.88
29.5,34.375,2016,12,17,5.69
29.5,35.625,2017,1,12,7.4
29.5,35.0,2017,1,12,6.45
29.5,34.375,2017,1,12,7.67
29.5,35.625,2023,1,2,9.22
29.5,35.625,2009,1,18,5.83
29.5,35.0,2012,12,19,4.77
29.5,34.375,2012,12,19,8.75
29.5,35.625,2024,6,7,8.42
29.5,35.0,2024,6,7,8.73
29.5,34.375,2024,6,7,9.77
29.5,35.625,2019,12,21,8.37
29.5,35.0,2019,12,21,8.67
29.5,34.375,2019,12,21,5.88
29.5,35.0,2009,1,18,6.74
29.5,34.375,2009,1,18,7.91
29.5,35.0,2012,12,17,5.38
29.5,34.375,2012,12,17,5.35
29.5,35.625,2022,12,20,6.57
29.5,35.0,2022,12,20,5.23
29.5,34.375,2022,12,20,8.39
29.5,35.625,2017,1,13,7.64
29.5,35.0,2017,1,13,6.01
29.5,34.375,2017,1,13,7.37
29.5,35.625,2013,1,17,5.08
29.5,35.0,2013,1,17,3.74
29.5,34.375,2013,1,17,5.44
29.5,35.625,2012,12,18,5.59
29.5,35.0,2012,12,18,2.72
29.5,34.375,2012,12,18,7.51
29.5,35.625,2016,12,17,4.17
29.5,35.0,2016,12,17,5.47
29.5,34.375,2016,12,16,7.2
29.5,35.625,2017,1,14,9.11
29.5,35.0,2017,1,14,8.6
29.5,34.375,2017,1,14,7.01
29.5,35.625,2009,1,19,3.86
29.5,35.0,2009,1,19,5.11
29.5,34.375,2009,1,19,6.18
29.5,35.0,2023,1,2,10.43
29.5,34.375,2023,1,2,7.53
29.5,35.625,2013,1,18,8.38
29.5,35.0,2013,1,18,5.21
29.5,34.375,2013,1,18,8.8
29.5,35.625,2020,1,13,4.53
29.5,35.0,2020,1,13,5.35
29.5,34.375,2020,1,13,6.2
29.5,35.625,2012,12,17,6.06
29.5,35.0,2022,12,19,9.25
29.5,34.375,2022,12,19,5.38
29.5,35.0,2024,12,28,4.2
29.5,34.375,2024,12,28,8.1
29.5,35.625,2009,1,20,4.35
29.5,35.0,2009,1,20,4.91
29.5,34.375,2009,1,20,5.54
29.5,35.625,2016,12,16,6.62
29.5,35.625,2023,6,8,7.74
29.5,35.0,2023,6,8,3.48
29.5,34.375,2023,6,8,6.13
29.5,35.625,2013,1,19,9.12
29.5,35.0,2013,1,19,5.63
29.5,34.375,2013,1,19,8.27
29.5,35.625,2020,1,14,7.66
29.5,35.0,2016,12,16,5.46
29.5,34.375,2017,1,15,7.55
29.5,35.625,2016,12,15,9.75
29.5,35.0,2016,12,15,6.98
29.5,34.375,2016,12,15,8.67
29.5,35.625,2024,12,28,7.25
29.5,35.0,2020,1,14,7.14
29.5,35.625,2019,12,20,8.88
29.5,35.0,2019,12,20,9.69
29.5,34.375,2019,12,20,6.61
29.5,34.375,2020,1,14,5.37
29.5,35.625,2020,1,15,8.0
29.5,35.0,2020,1,15,7.5
29.5,34.375,2020,1,15,6.62
29.5,35.625,2012,12,16,5.68
29.5,35.0,2012,12,16,7.09
29.5,35.625,2022,12,19,8.27
29.5,35.625,2016,12,14,16.52
29.5,35.0,2016,12,14,11.8
29.5,34.375,2016,12,14,14.06
29.5,35.625,2009,1,21,6.82
29.5,35.0,2009,1,21,7.27
29.5,34.375,2009,1,21,4.8
29.5,34.375,2012,12,16,8.99
29.5,35.625,2019,12,19,9.09
29.5,35.0,2019,12,19,9.34
29.5,34.375,2019,12,19,5.68
29.5,35.625,2013,1,20,4.59
29.5,35.0,2013,1,20,5.38
29.5,34.375,2013,1,20,5.04
29.5,35.625,2012,12,15,6.53
29.5,35.625,2017,1,15,6.39
29.5,35.0,2017,1,15,6.81
29.5,35.625,2016,12,13,9.81
29.5,35.0,2016,12,13,6.51
29.5,34.375,2016,12,13,10.0
29.5,35.625,2023,11,12,6.42
29.5,35.0,2023,11,12,6.08
29.5,34.375,2023,11,12,4.75
29.5,35.625,2022,12,18,9.68
29.5,35.0,2022,12,18,9.24
29.5,35.0,2012,12,15,7.75
29.5,34.375,2012,12,15,9.3
29.5,35.625,2013,1,21,4.55
29.5,35.0,2013,1,21,5.96
29.5,34.375,2013,1,21,7.67
29.5,35.625,2024,6,8,7.91
29.5,35.0,2024,6,8,8.23
29.5,34.375,2022,12,18,5.15
29.5,34.375,2009,1,23,9.16
29.5,35.625,2022,12,17,9.0
29.5,35.0,2022,12,17,8.61
29.5,34.375,2022,12,17,4.72
29.5,35.625,2009,1,22,8.53
29.5,35.0,2009,1,22,9.83
29.5,34.375,2009,1,22,6.76
29.5,34.375,2024,6,8,9.96
29.5,35.625,2020,1,16,9.45
29.5,35.0,2020,1,16,10.22
29.5,34.375,2020,1,16,9.56
29.5,35.625,2012,12,14,4.98
29.5,35.0,2012,12,14,6.13
29.5,34.375,2012,12,14,7.78
29.5,35.625,2019,12,18,7.14
29.5,35.0,2019,12,18,7.34
29.5,34.375,2009,1,24,8.22
29.5,35.625,2017,1,16,7.0
29.5,35.0,2017,1,16,6.81
29.5,34.375,2017,1,16,4.27
29.5,35.625,2016,12,12,5.28
29.5,35.0,2016,12,12,6.0
29.5,34.375,2016,12,12,7.68
29.5,35.625,2009,1,23,8.89
29.5,35.0,2009,1,23,10.09
29.5,34.375,2019,12,18,6.29
29.5,35.625,2013,1,22,11.3
29.5,35.0,2013,1,22,10.48
29.5,34.375,2013,1,22,10.62
29.5,35.625,2012,12,13,6.81
29.5,35.0,2012,12,13,6.86
29.5,34.375,2012,12,13,7.79
29.5,35.625,2017,1,17,6.66
29.5,35.0,2017,1,17,7.55
29.5,35.625,2023,1,3,7.05
29.5,35.0,2023,1,3,9.14
29.5,34.375,2023,1,3,6.93
29.5,35.625,2009,1,24,10.55
29.5,35.625,2019,12,17,5.47
29.5,35.0,2019,12,17,6.54
29.5,34.375,2019,12,17,7.09
29.5,35.625,2013,1,23,7.89
29.5,35.0,2013,1,23,5.76
29.5,34.375,2013,1,23,7.57
29.5,35.625,2020,1,17,10.25
29.5,35.0,2020,1,17,7.44
29.5,34.375,2020,1,17,9.87
29.5,35.0,2009,1,24,6.53
29.5,35.625,2017,1,18,8.2
29.5,35.0,2017,1,18,4.93
29.5,34.375,2017,1,18,7.63
29.5,35.625,2016,12,11,4.18
29.5,35.0,2016,12,11,5.66
29.5,34.375,2016,12,11,6.02
29.5,35.625,2022,12,16,7.76
29.5,35.0,2022,12,16,7.34
29.5,34.375,2022,12,16,6.21
29.5,35.625,2019,12,16,6.87
29.5,35.0,2019,12,16,7.16
29.5,34.375,2019,12,16,8.51
29.5,35.625,2023,6,4,8.38
29.5,35.0,2023,6,4,9.6
29.5,34.375,2023,6,4,11.38
29.5,35.625,2012,12,12,9.27
29.5,34.375,2016,12,10,7.97
29.5,35.625,2022,12,15,4.98
29.5,35.0,2022,12,15,5.33
29.5,34.375,2022,12,15,7.31
29.5,35.625,2009,1,25,5.28
29.5,35.0,2009,1,25,4.35
29.5,34.375,2009,1,25,6.1
29.5,34.375,2017,1,17,3.15
29.5,35.0,2012,12,12,8.6
29.5,34.375,2012,12,12,9.73
29.5,35.625,2020,1,18,9.62
29.5,35.0,2020,1,18,6.58
29.5,34.375,2020,1,18,9.3
29.5,35.625,2012,12,11,10.4
29.5,35.0,2012,12,11,7.08
29.5,34.375,2012,12,11,9.16
29.5,35.0,2016,12,9,6.47
29.5,34.375,2016,12,9,8.02
29.5,35.625,2023,11,13,4.48
29.5,35.0,2023,11,13,1.96
29.5,34.375,2023,11,13,4.19
29.5,35.625,2013,1,24,8.15
29.5,35.0,2013,1,24,6.6
29.5,34.375,2013,1,24,8.57
29.5,35.625,2012,12,10,10.62
29.5,35.0,2012,12,10,8.25
29.5,34.375,2012,12,10,10.34
29.5,35.625,2020,1,19,7.42
29.5,35.0,2020,1,19,6.17
29.5,34.375,2020,1,19,8.26
29.5,35.625,2016,12,10,6.67
29.5,35.0,2016,12,10,6.76
29.5,35.625,2009,1,27,6.17
29.5,35.0,2009,1,27,6.53
29.5,34.375,2009,1,27,4.2
29.5,35.625,2009,1,26,7.27
29.5,35.0,2009,1,26,4.78
29.5,34.375,2009,1,26,7.34
29.5,35.625,2017,1,19,5.15
29.5,35.0,2017,1,19,6.6
29.5,34.375,2017,1,19,7.21
29.5,35.625,2013,1,25,12.21
29.5,35.0,2013,1,25,9.64
29.5,34.375,2013,1,25,11.51
29.5,35.625,2024,6,2,8.64
29.5,35.0,2024,6,2,8.95
29.5,34.375,2024,6,2,11.55
29.5,35.625,2016,12,9,6.91
29.5,35.625,2016,12,8,7.25
29.5,35.0,2016,12,8,7.27
29.5,34.375,2016,12,8,9.34
29.5,35.625,2022,12,14,6.53
29.5,35.0,2022,12,14,5.42
29.5,34.375,2022,12,14,7.06
29.5,35.625,2013,1,26,8.78
29.5,35.0,2013,1,26,8.89
29.5,34.375,2013,1,26,7.8
29.5,35.625,2019,12,15,7.67
29.5,35.0,2019,12,15,6.86
29.5,34.375,2019,12,15,8.67
29.5,35.625,2012,12,9,5.86
29.5,35.0,2012,12,9,5.84
29.5,34.375,2012,12,9,7.46
29.5,35.625,2019,12,14,7.57
29.5,35.625,2022,12,13,7.52
29.5,35.0,2022,12,13,5.31
29.5,34.375,2022,12,13,7.3
29.5,35.625,2009,1,28,7.42
29.5,35.0,2009,1,28,8.39
29.5,34.375,2009,1,28,9.13
29.5,35.0,2019,12,14,4.72
29.5,34.375,2019,12,14,7.25
29.5,35.625,2013,1,27,8.89
29.5,35.0,2013,1,27,6.49
29.5,34.375,2013,1,27,7.13
29.5,35.625,2020,1,20,8.06
29.5,35.0,2020,1,20,6.88
29.5,34.375,2020,1,20,8.93
29.5,35.0,2023,6,3,8.51
29.5,34.375,2023,6,3,10.79
29.5,34.375,2012,12,8,7.05
29.5,35.625,2019,12,13,8.16
29.5,35.0,2019,12,13,5.14
29.5,34.375,2019,12,13,9.09
29.5,35.625,2023,11,7,6.06
29.5,35.0,2023,11,7,6.57
29.5,34.375,2023,11,7,7.34
29.5,35.625,2016,12,7,7.17
29.5,35.0,2016,12,7,7.35
29.5,34.375,2016,12,7,8.97
29.5,35.625,2022,12,12,5.95
29.5,35.0,2022,12,12,4.58
29.5,34.375,2022,12,12,6.31
29.5,35.625,2017,1,20,4.6
29.5,35.0,2017,1,20,7.08
29.5,34.375,2017,1,20,8.04
29.5,35.625,2012,12,7,8.03
29.5,35.0,2012,12,7,6.93
29.5,34.375,2012,12,7,8.53
29.5,35.0,2017,1,21,6.24
29.5,34.375,2017,1,21,7.96
29.5,35.625,2016,12,6,7.41
29.5,35.0,2016,12,6,6.27
29.5,34.375,2016,12,6,7.41
29.5,35.625,2009,1,29,10.23
29.5,35.0,2009,1,29,7.7
29.5,34.375,2009,1,29,8.95
29.5,35.625,2020,1,21,14.03
29.5,35.0,2020,1,21,11.94
29.5,34.375,2020,1,21,13.78
29.5,35.625,2012,12,8,5.45
29.5,35.0,2012,12,8,5.83
29.5,34.375,2012,12,6,6.85
29.5,35.625,2019,12,12,16.89
29.5,35.0,2019,12,12,13.18
29.5,34.375,2019,12,12,14.31
29.5,35.0,2024,6,1,9.61
29.5,34.375,2024,6,1,10.46
29.5,35.625,2017,1,22,4.0
29.5,35.0,2017,1,22,5.87
29.5,34.375,2017,1,22,6.69
29.5,35.625,2009,1,30,8.38
29.5,35.0,2009,1,30,4.54
29.5,34.375,2009,1,30,7.96
29.5,35.625,2017,1,21,6.23
29.5,35.625,2013,1,28,9.28
29.5,35.0,2013,1,28,8.04
29.5,34.375,2013,1,28,10.35
29.5,34.375,2022,12,11,5.63
29.5,35.625,2024,12,27,10.73
29.5,35.0,2024,12,27,6.82
29.5,34.375,2024,12,27,8.9
29.5,35.625,2016,12,5,7.41
29.5,35.0,2016,12,5,6.59
29.5,34.375,2016,12,5,8.59
29.5,35.625,2013,1,29,10.09
29.5,35.0,2013,1,29,7.17
29.5,34.375,2013,1,29,8.74
29.5,35.625,2024,6,1,8.99
29.5,35.625,2023,6,3,9.32
29.5,35.625,2020,1,22,7.41
29.5,35.0,2020,1,22,6.79
29.5,35.625,2012,12,6,6.96
29.5,35.0,2012,12,6,4.44
29.5,35.625,2016,12,4,8.16
29.5,35.0,2016,12,4,8.1
29.5,34.375,2016,12,4,6.64
29.5,35.625,2009,1,31,8.64
29.5,35.0,2009,1,31,7.47
29.5,34.375,2009,1,31,8.63
29.5,35.625,2022,12,11,5.12
29.5,34.375,2020,1,22,8.69
29.5,35.625,2013,1,30,9.8
29.5,35.0,2013,1,30,8.15
29.5,34.375,2013,1,30,9.82
29.5,35.625,2012,12,5,7.82
29.5,35.0,2012,12,5,5.55
29.5,34.375,2012,12,5,7.51
29.5,35.625,2023,6,9,9.66
29.5,35.0,2022,12,11,5.17
29.5,35.0,2017,1,23,6.1
29.5,34.375,2017,1,23,6.98
29.5,35.0,2023,11,6,7.24
29.5,34.375,2023,11,6,8.94
29.5,35.625,2022,12,10,4.15
29.5,35.0,2022,12,10,5.49
29.5,34.375,2022,12,10,5.53
29.5,35.625,2009,2,1,7.08
29.5,35.625,2019,12,11,6.92
29.5,35.0,2019,12,11,5.64
29.5,34.375,2019,12,11,6.62
29.5,35.625,2013,1,31,15.16
29.5,35.0,2013,1,31,11.76
29.5,34.375,2013,1,31,14.58
29.5,35.0,2009,2,1,4.82
29.5,34.375,2009,2,1,7.07
29.5,35.625,2016,12,3,8.02
29.5,35.0,2016,12,3,7.3
29.5,34.375,2016,12,3,4.79
29.5,35.625,2022,12,9,4.62
29.5,35.0,2022,12,9,4.97
29.5,34.375,2022,12,9,5.48
29.5,35.625,2024,6,9,9.7
29.5,35.625,2020,1,23,7.03
29.5,35.0,2020,1,23,5.23
29.5,34.375,2020,1,23,8.35
29.5,35.0,2024,6,9,9.34
29.5,34.375,2024,6,9,9.89
29.5,35.625,2012,12,4,13.41
29.5,35.0,2012,12,4,9.5
29.5,34.375,2012,12,4,11.52
29.5,35.625,2017,1,23,6.51
29.5,35.625,2016,12,2,10.94
29.5,35.0,2016,12,2,6.79
29.5,34.375,2016,12,2,9.3
29.5,35.625,2009,2,2,6.69
29.5,35.0,2009,2,2,7.38
29.5,34.375,2009,2,2,8.94
29.5,35.625,2017,1,24,7.08
29.5,35.625,2013,2,1,13.97
29.5,35.0,2013,2,1,10.66
29.5,34.375,2013,2,1,13.0
29.5,35.625,2012,12,3,4.62
29.5,35.0,2012,12,3,5.71
29.5,34.375,2012,12,3,6.33
29.5,35.625,2019,12,10,6.79
29.5,35.0,2017,1,24,8.49
29.5,34.375,2017,1,24,9.24
29.5,35.625,2022,12,8,5.21
29.5,35.0,2022,12,8,5.22
29.5,34.375,2022,12,8,6.57
29.5,35.0,2024,12,26,5.62
29.5,34.375,2024,12,26,8.29
29.5,35.625,2009,2,3,7.68
29.5,35.0,2009,2,3,6.89
29.5,34.375,2009,2,3,6.74
29.5,35.0,2019,12,10,4.23
29.5,34.375,2019,12,10,4.58
29.5,35.625,2013,2,2,12.37
29.5,35.0,2013,2,2,8.42
29.5,34.375,2013,2,2,9.95
29.5,35.625,2020,1,24,17.22
29.5,35.0,2020,1,24,12.59
